Date, Time, Open, High, Low, Close, Volume
04/10/2015, 15:07, 2.5800, 2.5800, 2.5800, 2.5800, 1.0000
04/13/2015, 08:33, 2.5100, 2.5100, 2.5100, 2.5100, 2.0000
04/13/2015, 08:37, 2.6500, 2.6500, 2.6500, 2.6500, 2.0000
04/13/2015, 08:41, 2.6900, 2.6900, 2.6900, 2.6900, 1.0000
04/13/2015, 09:00, 2.8000, 2.8000, 2.8000, 2.8000, 1.0000
04/13/2015, 09:07, 2.7500, 2.7500, 2.7500, 2.7500, 3.0000
04/13/2015, 09:17, 2.7100, 2.7100, 2.7100, 2.7100, 5.0000
04/13/2015, 09:24, 2.8800, 2.8800, 2.8800, 2.8800, 5.0000
04/13/2015, 09:53, 2.7000, 2.7000, 2.7000, 2.7000, 20.0000
04/13/2015, 10:02, 2.7000, 2.7000, 2.7000, 2.7000, 10.0000
04/13/2015, 10:15, 2.7500, 2.7500, 2.7500, 2.7500, 50.0000
04/13/2015, 10:53, 2.6500, 2.6500, 2.6500, 2.6500, 1.0000
04/13/2015, 11:35, 2.5500, 2.5500, 2.5500, 2.5500, 1.0000
04/13/2015, 12:23, 2.3600, 2.3600, 2.3600, 2.3600, 1.0000
04/13/2015, 12:24, 2.2700, 2.2700, 2.2700, 2.2700, 1.0000
04/13/2015, 12:25, 2.2900, 2.2900, 2.2900, 2.2900, 1.0000
04/13/2015, 12:27, 2.2700, 2.2700, 2.2700, 2.2700, 17.0000
04/13/2015, 12:43, 2.2000, 2.2000, 2.2000, 2.2000, 69.0000
04/13/2015, 12:50, 2.1500, 2.1500, 2.1500, 2.1500, 10.0000
04/13/2015, 13:06, 2.3600, 2.3600, 2.3600, 2.3600, 1.0000
04/13/2015, 13:38, 2.3300, 2.3300, 2.3300, 2.3300, 18.0000
04/13/2015, 13:51, 2.1900, 2.1900, 2.1900, 2.1900, 50.0000
04/13/2015, 13:54, 2.2100, 2.2100, 2.2100, 2.2100, 10.0000
04/13/2015, 13:55, 2.2100, 2.2100, 2.2100, 2.2100, 29.0000
04/13/2015, 13:56, 2.2100, 2.2100, 2.2100, 2.2100, 25.0000
